Count,Asset Material,Asset Diameter,Asset Install Year,BR,LoF Phys,LoF,CoF,Risk,Max CoF Factors,Replace Cost,Asset ID
1,CP,12,1990,1.7,1,1,1,1,"",$14656,43710
1,CP,12,1990,1.7,1,1,1,1,"",$8643,43762
1,CP,12,1990,1.7,1,1,1,1,"",$12450,43767
1,CP,12,1990,1.7,1,1,1,1,"",$43602,43819
1,CP,12,1990,1.7,1,1,1,1,"",$3488,43825
1,CP,12,1990,1.7,1,1,1,1,"",$35305,43841
1,CP,12,1990,1.7,1,1,1,1,"",$7449,43843
1,CP,12,1990,1.7,1,1,1,1,"",$2253,43849
1,CP,12,1990,1.7,1,1,1,1,"",$9527,43886
1,CP,12,1990,1.7,1,1,1,1,"",$7594,43888
1,CP,12,1990,1.7,1,1,1,1,"",$5949,43900
1,CP,12,1990,1.7,1,1,1,1,"",$5363,43915
1,CP,12,1990,1.7,1,1,1,1,"",$23306,43921
1,CP,12,1990,1.7,1,1,1,1,"",$35601,43926
1,CP,12,1990,1.7,1,1,1,1,"",$46876,43959
1,CP,12,1990,1.7,1,1,1,1,"",$13421,43971
1,CP,12,1990,1.7,1,1,1,1,"",$12823,44001
1,CP,12,1990,1.7,1,1,1,1,"",$5051,44004
1,CP,12,1990,1.7,1,1,1,1,"",$14714,44008
1,CP,12,1990,1.7,1,1,1,1,"",$8623,44018
1,CP,12,1990,1.7,1,1,1,1,"",$16793,44034
1,CP,12,1990,1.7,1,1,1,1,"",$8954,44079
1,CP,12,1990,1.7,1,1,1,1,"",$8758,44080
1,CP,12,1990,1.7,1,1,1,1,"",$8580,44094
1,CP,12,1990,1.7,1,1,1,1,"",$2109,44134
1,CP,12,1990,1.7,1,1,1,1,"",$62328,44136
1,CP,12,1990,1.7,1,1,1,1,"",$11060,44178
1,CP,12,1990,1.7,1,1,1,1,"",$49035,44220
1,CP,12,1990,1.7,1,1,1,1,"",$8204,44224
1,CP,12,1990,1.7,1,1,1,1,"",$9591,44227
1,CP,12,1990,1.7,1,1,1,1,"",$6427,44244
1,CP,12,1990,1.7,1,1,1,1,"",$11243,44252
1,CP,12,1990,1.7,1,1,1,1,"",$9471,44275
1,CP,12,1990,1.7,1,1,1,1,"",$3633,44313
1,CP,12,1990,1.7,1,1,1,1,"",$2412,44317
1,CP,12,1990,1.7,1,1,1,1,"",$3010,44321
1,CP,12,1990,1.7,1,1,1,1,"",$6021,44329
1,CP,12,1990,1.7,1,1,1,1,"",$2659,44339
1,CP,12,1990,1.7,1,1,1,1,"",$6995,44356
1,CP,12,1990,1.7,1,1,1,1,"",$47197,44368
1,CP,12,1990,1.7,1,1,1,1,"",$9645,44394
1,CP,12,1990,1.7,1,1,1,1,"",$15047,44398
1,CP,12,1990,1.7,1,1,1,1,"",$7452,44427
